sticker_id,chapter_id,chapter_title,chapter_slug,category,target_name,rarity,priority,search_hint,status
SL-01-001,01,Nace el Ciclón,nace-el-ciclon,fundacion,Acta fundacional de San Lorenzo de Almagro,epica,alta,San Lorenzo de Almagro Acta fundacional de San Lorenzo de Almagro Nace el Ciclón fundacion y primeros anos,planned
SL-01-002,01,Nace el Ciclón,nace-el-ciclon,fundacion,Padre Lorenzo Massa en los origenes del club,legendaria,alta,San Lorenzo de Almagro Padre Lorenzo Massa en los origenes del club Nace el Ciclón fundacion y primeros anos,planned
SL-01-003,01,Nace el Ciclón,nace-el-ciclon,archivo_historico,Primer escudo historico de San Lorenzo,rara,alta,San Lorenzo de Almagro Primer escudo historico de San Lorenzo Nace el Ciclón fundacion y primeros anos,planned
SL-01-004,01,Nace el Ciclón,nace-el-ciclon,equipo,Primer equipo representativo de San Lorenzo,rara,alta,San Lorenzo de Almagro Primer equipo representativo de San Lorenzo Nace el Ciclón fundacion y primeros anos,planned
SL-01-005,01,Nace el Ciclón,nace-el-ciclon,camiseta,Primeras camisetas azulgranas del club,especial,media,San Lorenzo de Almagro Primeras camisetas azulgranas del club Nace el Ciclón fundacion y primeros anos,planned
SL-01-006,01,Nace el Ciclón,nace-el-ciclon,archivo_historico,Boedo y Almagro en los inicios azulgranas,especial,media,San Lorenzo de Almagro Boedo y Almagro en los inicios azulgranas Nace el Ciclón fundacion y primeros anos,planned
SL-01-007,01,Nace el Ciclón,nace-el-ciclon,fundacion,Retrato historico del Padre Lorenzo Massa,epica,alta,San Lorenzo de Almagro Retrato historico del Padre Lorenzo Massa Nace el Ciclón fundacion y primeros anos,planned
SL-01-008,01,Nace el Ciclón,nace-el-ciclon,fundacion,Juventud fundadora de San Lorenzo en Oratorio San Antonio,rara,alta,San Lorenzo de Almagro Juventud fundadora de San Lorenzo en Oratorio San Antonio Nace el Ciclón fundacion y primeros anos,planned
SL-01-009,01,Nace el Ciclón,nace-el-ciclon,archivo_historico,Documentos institucionales de la fundacion azulgrana,especial,media,San Lorenzo de Almagro Documentos institucionales de la fundacion azulgrana Nace el Ciclón fundacion y primeros anos,planned
SL-01-010,01,Nace el Ciclón,nace-el-ciclon,fundacion,Postal temprana de socios fundadores de San Lorenzo,rara,alta,San Lorenzo de Almagro Postal temprana de socios fundadores de San Lorenzo Nace el Ciclón fundacion y primeros anos,planned
SL-01-011,01,Nace el Ciclón,nace-el-ciclon,festejo,Primeras celebraciones barriales del club en Boedo,especial,media,San Lorenzo de Almagro Primeras celebraciones barriales del club en Boedo Nace el Ciclón fundacion y primeros anos,planned
SL-01-012,01,Nace el Ciclón,nace-el-ciclon,archivo_historico,Imagen de archivo del nacimiento del Ciclon,especial,media,San Lorenzo de Almagro Imagen de archivo del nacimiento del Ciclon Nace el Ciclón fundacion y primeros anos,planned
