chapter_id,chapter_title,slug,target_count,notes
01,Nace el Ciclón,nace-el-ciclon,30,
02,El Viejo Gasómetro,el-viejo-gasometro,35,
03,Primeras glorias,primeras-glorias,35,
04,La Santísima Trinidad,la-santisima-trinidad,25,
05,Los Carasucias,los-carasucias,25,
06,Los Matadores,los-matadores,35,
07,El regreso y Los Camboyanos,el-regreso-y-los-camboyanos,35,
08,El campeón del 95,el-campeon-del-95,30,
09,El equipo récord 2001,el-equipo-record-2001,30,
10,Las primeras copas internacionales,las-primeras-copas-internacionales,30,
11,Ramón 2007,ramon-2007,25,
12,Del sufrimiento a la gloria 2012/2013,del-sufrimiento-a-la-gloria-2012-2013,30,
13,Libertadores 2014,libertadores-2014,40,
14,Supercopa y años recientes,supercopa-y-anos-recientes,35,
15,Ídolos eternos,idolos-eternos,70,
16,Boedo vuelve,boedo-vuelve,30,
17,Otros deportes azulgranas,otros-deportes-azulgranas,35,
18,Figuritas legendarias y míticas,figuritas-legendarias-y-miticas,25,

