query_id,sticker_id,chapter_id,chapter_title,chapter_slug,target_name,category,query,provider,status
Q-SL-01-001-01,SL-01-001,01,Nace el Ciclón,nace-el-ciclon,Acta fundacional de San Lorenzo de Almagro,fundacion,San Lorenzo de Almagro Acta fundacional de San Lorenzo de Almagro Nace el Ciclón fundacion y primeros anos,pending,pending
Q-SL-01-001-02,SL-01-001,01,Nace el Ciclón,nace-el-ciclon,Acta fundacional de San Lorenzo de Almagro,fundacion,San Lorenzo de Almagro Acta fundacional de San Lorenzo de Almagro Nace el Ciclón foto,pending,pending
Q-SL-01-001-03,SL-01-001,01,Nace el Ciclón,nace-el-ciclon,Acta fundacional de San Lorenzo de Almagro,fundacion,San Lorenzo Acta fundacional de San Lorenzo de Almagro foto imagen,pending,pending
Q-SL-01-001-04,SL-01-001,01,Nace el Ciclón,nace-el-ciclon,Acta fundacional de San Lorenzo de Almagro,fundacion,San Lorenzo Nace el Ciclón Acta fundacional de San Lorenzo de Almagro archivo historico,pending,pending
Q-SL-01-001-05,SL-01-001,01,Nace el Ciclón,nace-el-ciclon,Acta fundacional de San Lorenzo de Almagro,fundacion,San Lorenzo Acta fundacional de San Lorenzo de Almagro San Lorenzo imagen,pending,pending
Q-SL-01-002-01,SL-01-002,01,Nace el Ciclón,nace-el-ciclon,Padre Lorenzo Massa en los origenes del club,fundacion,San Lorenzo de Almagro Padre Lorenzo Massa en los origenes del club Nace el Ciclón fundacion y primeros anos,pending,pending
Q-SL-01-002-02,SL-01-002,01,Nace el Ciclón,nace-el-ciclon,Padre Lorenzo Massa en los origenes del club,fundacion,San Lorenzo de Almagro Padre Lorenzo Massa en los origenes del club Nace el Ciclón foto,pending,pending
Q-SL-01-002-03,SL-01-002,01,Nace el Ciclón,nace-el-ciclon,Padre Lorenzo Massa en los origenes del club,fundacion,San Lorenzo Padre Lorenzo Massa en los origenes del club foto imagen,pending,pending
Q-SL-01-002-04,SL-01-002,01,Nace el Ciclón,nace-el-ciclon,Padre Lorenzo Massa en los origenes del club,fundacion,San Lorenzo Nace el Ciclón Padre Lorenzo Massa en los origenes del club archivo historico,pending,pending
Q-SL-01-002-05,SL-01-002,01,Nace el Ciclón,nace-el-ciclon,Padre Lorenzo Massa en los origenes del club,fundacion,San Lorenzo Padre Lorenzo Massa en los origenes del club San Lorenzo imagen,pending,pending
